address,type,date_notice,notice_number,district,neighborhood,pdf_path,text_path
4128 EIERMAN,Vacant,2024-02-22,2348572A,NORTHEAST,ARCADIA,,
3203 TYNDALE,Exterior,2024-07-21,2411752A,NORTHEAST,ARCADIA,,
3201 BERKSHIRE,Interior/Exterior,2013-07-18,998459A,NORTHERN,ARCADIA,,
4014 EIERMAN,Interior,2023-08-02,2276097A,NORTHEAST,ARCADIA,,
4136 EIERMAN,Vacant,2025-05-28,2510005A,NORTHEAST,ARCADIA,,
3610 PARKSIDE,Vacant,2023-11-12,2320172A,NORTHEAST,ARCADIA,,
3003 OVERLAND,Interior/Exterior,2025-06-27,2530446A,NORTHEAST,ARCADIA,,
3024 IONA,Exterior,2025-07-25,2541459A,NORTHEAST,ARCADIA,,
4014 EIERMAN,Interior/Exterior,2023-08-02,2275630A,NORTHEAST,ARCADIA,,
4400 BELAIR,Vacant,2025-02-04,2476471A,NORTHEAST,ARCADIA,,
3120 WEAVER,Vacant,2025-02-27,2478950A,NORTHEAST,ARCADIA,,
4002 EIERMAN,Vacant,2023-05-22,2247003A,NORTHEAST,ARCADIA,,
3806 PARKSIDE,Vacant,2022-11-18,2185652A,NORTHEAST,ARCADIA,,
4014 EIERMAN,Interior,2023-07-07,2256558A,NORTHEAST,ARCADIA,,
4154 EIERMAN,Vacant,2023-09-15,2300730A,NORTHEAST,ARCADIA,,
3003 OVERLAND,Exterior,2025-06-27,2530442A,NORTHEAST,ARCADIA,,
5222 HORNERS,Exterior,2025-10-23,2582889A,NORTHEAST,ARMISTEAD GARDENS,pdf\ARMISTEAD GARDENS\2582889A.pdf,text\ARMISTEAD GARDENS\2582889A.txt
1230-1 HORNERS,Exterior,2020-05-19,1898679A,NORTHEAST,ARMISTEAD GARDENS,pdf\ARMISTEAD GARDENS\1898679A.pdf,text\ARMISTEAD GARDENS\1898679A.txt
5222 HORNERS,Exterior,2025-10-23,2582832A,NORTHEAST,ARMISTEAD GARDENS,pdf\ARMISTEAD GARDENS\2582832A.pdf,text\ARMISTEAD GARDENS\2582832A.txt
5123 HORNERS,Exterior,2024-04-22,2370724A,NORTHEAST,ARMISTEAD GARDENS,pdf\ARMISTEAD GARDENS\2370724A.pdf,text\ARMISTEAD GARDENS\2370724A.txt
1101 HORNERS,Interior/Exterior,2024-08-26,2429769A,NORTHEAST,ARMISTEAD GARDENS,pdf\ARMISTEAD GARDENS\2429769A.pdf,text\ARMISTEAD GARDENS\2429769A.txt
1000 HORNERS,Interior,2025-01-31,2472554A,NORTHEAST,ARMISTEAD GARDENS,pdf\ARMISTEAD GARDENS\2472554A.pdf,text\ARMISTEAD GARDENS\2472554A.txt
5222 HORNERS,Exterior,2023-12-01,2326210A,NORTHEAST,ARMISTEAD GARDENS,pdf\ARMISTEAD GARDENS\2326210A.pdf,text\ARMISTEAD GARDENS\2326210A.txt
